 
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
227,Bruce Brown,28,TOR,PG,16,0,19.9,3.2,7.3,.440,0.6,1.9,.323,2.6,5.3,.482,.483,1.4,1.6,.880,1.0,2.9,3.9,1.6,1.0,0.2,1.1,1.5,8.4,,brownbr01
228,Carlton Carrington,19,WAS,PG,49,34,28.8,3.1,8.0,.387,1.5,4.5,.327,1.6,3.5,.462,.478,0.7,0.9,.810,0.4,3.5,3.9,3.8,0.7,0.2,1.4,2.4,8.4,,carrica01
229,Jaden Hardy,22,DAL,SG,39,3,15.6,3.1,7.1,.430,1.3,3.4,.386,1.7,3.7,.469,.522,0.9,1.3,.740,0.2,1.4,1.6,1.4,0.5,0.1,1.5,1.6,8.4,,hardyja02
230,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,nowelja01
231,Kel'el Ware,20,MIA,C,32,6,17.7,3.4,6.2,.556,0.8,1.8,.407,2.7,4.3,.619,.616,0.8,1.0,.727,1.1,3.9,5.0,0.6,0.6,1.0,0.7,1.3,8.4,,wareke01
232,Draymond Green,34,GSW,PF,35,33,27.9,2.9,7.0,.416,1.3,3.7,.357,1.6,3.3,.483,.510,1.1,1.9,.597,1.0,5.0,6.0,5.5,1.0,1.1,2.5,3.0,8.3,,greendr01
233,Jalen Smith,24,CHI,C,45,1,15.4,3.0,6.3,.467,1.2,3.4,.342,1.8,2.9,.615,.560,1.2,1.5,.836,1.5,4.1,5.6,0.8,0.3,0.8,0.6,1.6,8.3,,smithja04
234,Ausar Thompson,22,DET,SF,28,17,20.1,3.4,6.7,.513,0.3,1.1,.219,3.2,5.5,.574,.532,1.1,1.9,.615,1.5,3.3,4.8,1.7,1.5,0.5,1.4,2.6,8.3,,thompau01
235,Trendon Watford,24,BRK,PF,15,0,16.1,2.8,6.4,.438,0.6,2.0,.300,2.2,4.4,.500,.484,2.0,2.5,.811,0.4,2.6,3.0,1.2,0.5,0.3,1.3,2.3,8.2,,watfotr01
236,Mike Conley,37,MIN,PG,45,39,25.0,2.5,6.9,.367,1.8,4.6,.382,0.8,2.3,.337,.494,1.2,1.4,.903,0.5,2.1,2.6,4.5,1.3,0.2,1.1,1.5,8.1,,conlemi01
237,Tyrese Martin,25,BRK,SG,31,6,21.3,3.0,7.5,.399,1.6,4.5,.353,1.4,3.0,.468,.504,0.5,0.8,.654,1.1,2.8,3.9,1.8,0.4,0.2,1.3,1.1,8.1,,martity01
